	寒山落木　卷一
花の都扨又月の田舍哉	寒山落木　卷一
【大磯蚊多し】	寒山落木　卷一
名月のこよひに死ぬる秋の蚊か	寒山落木　卷一
名月の空に江嶋の琵琶聞ん	寒山落木　卷一
名月やすた／＼ありく芋畑	寒山落木　卷一
【大磯】	寒山落木　卷一
鎌倉に波のよる見ゆけふの月	寒山落木　卷一
網引の網引きながら月見哉	寒山落木　卷一
名月や松を離れて風の聲	寒山落木　卷一
名月や闇をはひ出る虫の聲	寒山落木　卷一
【十五夜雲多し〔三句〕】	寒山落木　卷一
色の形となるや雲の月	寒山落木　卷一
尻を出し頭を出すや雲の月	寒山落木　卷一
名月やもう一いきで雲の外	寒山落木　卷一
雲に月わざ／＼はいるにくさ哉	寒山落木　卷一
名月やそりやこそ雲の大かたまり	寒山落木　卷一
新暦の十月五日月見哉	寒山落木　卷一
大磯へまで來てこよひ月もなし	寒山落木　卷一
名月や小磯は砂のよい處	寒山落木　卷一
沙濱に人のあとふむ月見哉	寒山落木　卷一
くらからばたゞ暗からで雲の月	寒山落木　卷一
名月に馬子と漁師の出合哉	寒山落木　卷一
いさり火や月を離れし沖の隅	寒山落木　卷一
松一ツ／＼影もつ月夜哉	寒山落木　卷一
待宵に月見る處定めけり	寒山落木　卷一
名月や鶴ののつたる捨小船	寒山落木　卷一
名月や雌松雄松の間より	寒山落木　卷一
【大磯】	寒山落木　卷一
江の嶋は龜になれ／＼けふの月	寒山落木　卷一
【夜半月晴】	寒山落木　卷一
明月やすつでのことで寐る處	寒山落木　卷一
明月や面白さうな波の音	寒山落木　卷一
孕句に雲のかゝりし月見哉	寒山落木　卷一
名月や松にわるいといふはなし	寒山落木　卷一
名月や鰯もうかぶ海の上	寒山落木　卷一
十六夜は待宵程に晴にけり	寒山落木　卷一
【大磯にて終日垂釣の人を見て】	寒山落木　卷一
秋風の一日何を釣る人そ	寒山落木　卷一
十六夜の山はかはるや月の道	寒山落木　卷一
厮から居待の月をながめけり	寒山落木　卷一
旅僧のもたれてあるく野分哉	寒山落木　卷一
【友に留守を訪はれて】	寒山落木　卷一
蜘の巣に蜘は留守也秋の風	寒山落木　卷一
樵夫二人だまつて霧を現はるゝ	寒山落木　卷一
秋の海名もなき嶋のあらはるゝ	寒山落木　卷一
【首途〔二句〕】	寒山落木　卷一
旅の旅又その旅の秋の風	寒山落木　卷一
はつきりと行先遠し秋の山	寒山落木　卷一
秋の雲瀧をはなれて山の上	寒山落木　卷一
秋風や鳥飛び盡す筑波山	寒山落木　卷一
明日の露にぬれたり淡路嶋	寒山落木　卷一
野分して牛蒡大根のうまさ哉	寒山落木　卷一
白露の庵の戸あけて物や思ふ	寒山落木　卷一
杉の木のたわみ見て居る野分哉	寒山落木　卷一
後家夜更けて烟草吹きつける天の川	寒山落木　卷一
名月や竹も光明かくや姫	寒山落木　卷一
稻妻のはなれて遠し電氣燈	寒山落木　卷一
ビール苦く葡萄酒澁し薔薇の花	寒山落木　卷一
初汐や松に浪こす四十島	寒山落木　卷一
【御幸寺山】	寒山落木　卷一
天狗泣き天狗笑ふや秋の風	寒山落木　卷一
名月や伊豫の松山一万戸	寒山落木　卷一
【義助墓】	寒山落木　卷一
稻妻の崩れたあとや夕嵐	寒山落木　卷一
十六夜の闇の底なり莊園寺	寒山落木　卷一
蛇落つる高石かけの野分哉	寒山落木　卷一
【吉敷川】	寒山落木　卷一
天の川よしきの上を流れけり	寒山落木　卷一
ていれぎの下葉淺黄に秋の風	寒山落木　卷一
名月や何をせむしの物思ひ	寒山落木　卷一
稻妻に目ばたきしたる坐頭哉	寒山落木　卷一
稻妻や何の梦見る兒の顏	寒山落木　卷一
傾城に歌よむはなしけふの月	寒山落木　卷一
八反帆野分に落すあをり哉	寒山落木　卷一
此頃は蓴菜かたし秋の風	寒山落木　卷一
名月はどこでながめん草枕	寒山落木　卷一
人力のほろ吹きちぎる野分哉	寒山落木　卷一
眞帆片帆瀬戸に重なる月夜哉	寒山落木　卷一
名月や人の命の五十年	寒山落木　卷一
西行はどこで歌よむけふの月	寒山落木　卷一
稻妻や誰が稽古のくさり鎌	寒山落木　卷一
名月にうなつきあふや稻の花	寒山落木　卷一
名月の道に茶碗のかげ白し	寒山落木　卷一
鐵橋や横すぢかひに天の川	寒山落木　卷一
針金に松の木起す野分哉	寒山落木　卷一
天の川凌雲閣にもたれけり	寒山落木　卷一
初汐や御茶の水橋あたりまで	寒山落木　卷一
親が鳴き子猿が鳴いて秋の風	寒山落木　卷一
子をつれて犬の出あるく月夜哉	寒山落木　卷一
稻妻をふるひおとすや鳴子引	寒山落木　卷一
名月や雄浪雌波の打ちがひ	寒山落木　卷一
いなつまや簔蟲のなく闇の闇	寒山落木　卷一
松風をはなれて高し秋の月	寒山落木　卷一
名月や谷の底なる話し聲	寒山落木　卷一
名月も心盡しの雲間哉	寒山落木　卷一
名月や思ふところに捨小舟	寒山落木　卷一
名月に白砂玉とも見ゆるかな	寒山落木　卷一
玉になる石もあるらんけふの月	寒山落木　卷一
名月や大海原は塵もなし	寒山落木　卷一
干網の風なまくさし浦の月	寒山落木　卷一
夕月や何やら跳る海の面	寒山落木　卷一
名月の一夜に肥ゆる鱸哉	寒山落木　卷一
名月や芋ぬすませる罪深し	寒山落木　卷一
秋動物	寒山落木　卷一
啼に出てよる／＼やせる男鹿哉	寒山落木　卷一
鶺鴒や三千丈の瀧の水	寒山落木　卷一
鮎にはねる力はなかりけり	寒山落木　卷一
月の鹿尾の上／＼に鳴きにけり	寒山落木　卷一
籠の虫皆啼きたつる小雨哉	寒山落木　卷一
虫賣や北野の聲に嵯峨の聲	寒山落木　卷一
虫賣りにゆられて虫の啼きにけり	寒山落木　卷一
虫賣の月なき方へ歸りけり	寒山落木　卷一
馬糞にわりなき秋のこてふ哉	寒山落木　卷一
蜩や一日／＼をなきへらす	寒山落木　卷一
蜩に一すぢ長き夕日かな	寒山落木　卷一
蜩の松は月夜となりにけり	寒山落木　卷一
蟷螂の斧ほの／＼と三日の月	寒山落木　卷一
かまきりのゆら／＼上る芒哉	寒山落木　卷一
秋風や蟷螂肥て蝶細し	寒山落木　卷一
蟷螂は叶はぬ戀の狂亂か	寒山落木　卷一
蟷螂の切籠にかゝる夕かな	寒山落木　卷一
蟷螂や西瓜の甲かゝんとす	寒山落木　卷一
稻妻やかまきり何をとらんとす	寒山落木　卷一
かまきりの引きゆがめたる庵哉	寒山落木　卷一
かまきりは聲にも出さぬ思ひ哉	寒山落木　卷一
石塔に誰れが遺恨のかまきりぞ	寒山落木　卷一
斧たてゝ鎌切りにげる野分かな	寒山落木　卷一
かきよせて又蟷螂の草移り	寒山落木　卷一
鎌きりを石にふせるや桐一葉	寒山落木　卷一
かまきりのはひ渡る也鍋のつる	寒山落木　卷一
太刀魚の水きつて行く姿かな	寒山落木　卷一
稻妻や太刀魚はねる浪かしら	寒山落木　卷一
太刀魚の出刃庖丁にはてにけり	寒山落木　卷一
月にふしつ仰きつ鹿の姿哉	寒山落木　卷一
鹿二ツ尻を重ぬる月夜哉	寒山落木　卷一
棹鹿のなく／＼山を登りけり	寒山落木　卷一
宮嶋の神殿はしる小鹿かな	寒山落木　卷一
門へ來てひゝと鳴きけり奈良の鹿	寒山落木　卷一
雌鹿雄鹿尾の上をわけてなきにけり	寒山落木　卷一
町へ來て紅葉ふるふや奈良の鹿	寒山落木　卷一
鹿の聲川一筋のあなたかな	寒山落木　卷一
みあかしをめぐりてなくや鹿の聲	寒山落木　卷一
ほつかりと月夜に黒し鹿の影	寒山落木　卷一
鹿一ツひよとり越を下りけり	寒山落木　卷一
なき／＼て近よる聲や鹿二ツ	寒山落木　卷一
その角を蔦にからめてなく鹿か	寒山落木　卷一
小男鹿の尻聲きゆるあらし哉	寒山落木　卷一
さを鹿の萩のりこゆる嵐かな	寒山落木　卷一
爐にくべて紅葉を焚けば鹿の聲	寒山落木　卷一
鹿の聲月夜になれは細りけり	寒山落木　卷一
猪の男鹿追ひ行く野分哉	寒山落木　卷一
鹿笛を覺えて鹿を鳴かせばや	寒山落木　卷一
鳴き別れ又鳴きよるや女夫鹿	寒山落木　卷一
さをしかの晝なく秋と成にけり	寒山落木　卷一
小男鹿の一よさ聲を盡しけり	寒山落木　卷一
刈稻にけつまづいてや鹿のこゑ	寒山落木　卷一
御殿場に鹿の驚く夜車哉	寒山落木　卷一
かけり谷かけり鹿の月に啼く	寒山落木　卷一
岩角にのつほり立つや月の鹿	寒山落木　卷一
曉や霧わけ出る鹿の角	寒山落木　卷一
名月や眞向に立ちし鹿の形	寒山落木　卷一
月澄て空に聞ゆるをしかゝな	寒山落木　卷一
松の根にまたがつてなく小鹿哉	寒山落木　卷一
行く秋をすつくと鹿の立ちにけり	寒山落木　卷一
旅僧も淋しと申せ鹿のこゑ	寒山落木　卷一
谷あひにはさまりて鳴く男鹿哉	寒山落木　卷一
神さびて鹿なく奈良の都哉	寒山落木　卷一
鹿老て猿の聲にも似たる哉	寒山落木　卷一
十六夜や尾上の鹿に月のさす	寒山落木　卷一
夕月や山の裏行く鹿の聲	寒山落木　卷一
鹿の聲二ツにわれる嵐かな	寒山落木　卷一
鹿の聲ある夜はぬれて細長し	寒山落木　卷一
さを鹿のにげ／＼はねる紅葉哉	寒山落木　卷一
鹿の聲隣の山へかゝりけり	寒山落木　卷一
岩陰に鹿の落ちあふ野分哉	寒山落木　卷一
谷の鹿こなたになけばかなたにも	寒山落木　卷一
秋風にふりたて行くや鹿の角	寒山落木　卷一
萩に寐て月見あげたる男鹿哉	寒山落木　卷一
押しあふて月に遊ぶや鹿ふたつ	寒山落木　卷一
吹きまくる萩に男鹿のふしど哉	寒山落木　卷一
三日月をすくひあげたり鹿の角	寒山落木　卷一
奧殿に鹿のまねする夕かな	寒山落木　卷一
耳出して蒲團に鹿を聞く夜哉	寒山落木　卷一
烏帽子きた禰宜のよびけり神の鹿	寒山落木　卷一
奈良の鹿やせてことさら神し	寒山落木　卷一
關の戸にへだてられてや鹿の聲	寒山落木　卷一
物置に鹿のいねたる嵐かな	寒山落木　卷一
しとやかに鹿の角ゆく薄哉	寒山落木　卷一
里の灯を見かけてなくや闇の鹿	寒山落木　卷一
踏み出ては月に鳴く也萩の鹿	寒山落木　卷一
月の鹿思ひ／＼の足場かな	寒山落木　卷一
盜みぐひしてさへ鹿の痩せにけり	寒山落木　卷一
背戸へ來て鍋ふみかへす男鹿哉	寒山落木　卷一
神殿や鏡に向ふ鹿のふり	寒山落木　卷一
松に身をすつて鳴けり雨の鹿	寒山落木　卷一
鹿の首ねぢれて細き月夜かな	寒山落木　卷一
月の雁蘆ちる中へ下しけり	寒山落木　卷一
鮎澁ていよ／＼石に似たりけり乙州の句に鮎さひて石となりたる川瀬哉	寒山落木　卷一
宮嶋や干汐にたてる月の鹿	寒山落木　卷一
雁いくつ一手は月を渡りけり	寒山落木　卷一
掛茶屋の灰はつめたしきり／＼す	寒山落木　卷一
白露の中に乞食の鼾かな	寒山落木　卷一
菅笠に螽わけゆく野路哉	寒山落木　卷一
壁の笠とれは秋の蚊あらはるゝ	寒山落木　卷一
笠について一里は來たり秋の蠅	寒山落木　卷一
捨笠をうてばだまるやきり／＼す	寒山落木　卷一
蜻蛉の中ゆく旅の小笠哉	寒山落木　卷一
鱸さげて簔笠の人通りけり	寒山落木　卷一
秋の蝶長柄の傘に宿りけり	寒山落木　卷一
下し來る雁の中也笠いくつ	寒山落木　卷一
旅人の笠追へけり赤蜻蜒	寒山落木　卷一
笠を手にいそぐ夕や河鹿鳴ク	寒山落木　卷一
【如意に蜻蜒のとまりし画に】	寒山落木　卷一
耳なくてにげるやんまの悟り哉	寒山落木　卷一
下駄箱の奧になきけりきり／＼す	寒山落木　卷一
【根岸草庵】	寒山落木　卷一
我庵や蠧にまじはる蟋蟀	寒山落木　卷一
蜩に思ふことなきこじき哉	寒山落木　卷一
ヘソイ	寒山落木　卷一
乞食の腹を渡るや雁の聲	寒山落木　卷一
叩く尾のすりきれもせす石敲き	寒山落木　卷一
鶺鴒の飛び石づたひ來りけり	寒山落木　卷一
飛ぶさまや尾につらさるゝ石叩き	寒山落木　卷一
鶺鴒や岩を凹める尾の力	寒山落木　卷一
鶺鴒の尾にはねらるゝ蚯蚓哉	寒山落木　卷一
鶺鴒の糞して行くや石佛	寒山落木　卷一
ひよい／＼と鶺鴒ありく岩ほ哉	寒山落木　卷一
【大磯松林舘】	寒山落木　卷一
汐風にすがれて鳴くやきり／＼す	寒山落木　卷一
虫の鳴隅／＼暗し石灯籠	寒山落木　卷一
の蘆にとびつく襖かな	寒山落木　卷一
鶺鴒や欄干はしる瀬田の橋	寒山落木　卷一
のイ五條哉イ	寒山落木　卷一
鵙啼て秋の日和を定めけり	寒山落木　卷一
【大磯千疊敷】	寒山落木　卷一
雀ほど鶸鳴きたてゝ山淋し	寒山落木　卷一
情なう色のさめたり秋の蝶	寒山落木　卷一
澁鮎のさりとて紅葉にもならず	寒山落木　卷一
【三嶋社】	寒山落木　卷一
ぬかつけは鵯なくやどこてやら	寒山落木　卷一
【行脚】	寒山落木　卷一
我なりを見かけて鵯のなくらしき	寒山落木　卷一
鵯の人をよぶやら山淋し	寒山落木　卷一
【範頼の墓に笠をさゝげて】	寒山落木　卷一
鶺鴒よこの笠叩くことなかれ	寒山落木　卷一
神に灯をあげて戻れば鹿の聲	寒山落木　卷一
しづ／＼と塒出の鷹や下いさみ	寒山落木　卷一
むら／＼と雁かねたまる小池哉	寒山落木　卷一
澁鮎の岩關落す嵐かな	寒山落木　卷一
【古戰場】	寒山落木　卷一
螳螂も刀豆の實にくみつくか	寒山落木　卷一
秋の蝶動物園をたどりけり	寒山落木　卷一
軍艦の帆檣高し渡り鳥	寒山落木　卷一
蚯蚓鳴けば簔虫もなく夕哉	寒山落木　卷一
宮嶋に汐やふむらん月の鹿	寒山落木　卷一
里に魚あり其名紅葉鮒	寒山落木　卷一
蜩や金箱荷ふ人の息	寒山落木　卷一
砂濱にとまるものなし赤蜻蛉	寒山落木　卷一
鵙啼くや一番高い木のさきに	寒山落木　卷一
鰯ひく數に加はるわらは哉	寒山落木　卷一
押しよせて網の底なる鰯哉	寒山落木　卷一
【大磯二句】	寒山落木　卷一
鈴虫や土手の向ふは相模灘	寒山落木　卷一
鵙啼くや灘をひかえた岡の松	寒山落木　卷一
秋植物	寒山落木　卷一
羽衣やちきれてのこる松のつた	寒山落木　卷一
かりそめの鑵子のつるや蔦	寒山落木　卷一
高きびの中にせわしきつるべ哉	寒山落木　卷一
一ツ家の家根に蓼咲く山路かな	寒山落木　卷一
草むらにはつきりとさく野菊哉	寒山落木　卷一
してイ	寒山落木　卷一
稻の穗に招く哀れはなかりけり	寒山落木　卷一
かたまるを力にさくや女郎花	寒山落木　卷一
刈萱の穗にあらはれぬうらみかな	寒山落木　卷一
思ひ	寒山落木　卷一
淋しさをこらへて白し男郎花	寒山落木　卷一
足柄や花に雲おく女郎花	寒山落木　卷一
何もかもかれて墓場の鷄頭花	寒山落木　卷一
家もなき土手に木槿の籬かな	寒山落木　卷一
葛にわりなき花の高さかな	寒山落木　卷一
桐の雨はせをの風や庵の空	寒山落木　卷一
【萩と葛との合畫】	寒山落木　卷一
萩ゆられ葛ひるかへる夕かな	寒山落木　卷一
【別戀】	寒山落木　卷一
葛の葉をふみ返したる別哉	寒山落木　卷一
こぼす露こぼさぬ露や萩と葛	寒山落木　卷一
葛の葉の花に成たる憎さかな	寒山落木　卷一
唐辛子一ツ二ツは青くあれ	寒山落木　卷一
すさましくつツ立つさまや蕃椒	寒山落木　卷一
秋風に枝も葉もなし曼珠沙花	寒山落木　卷一
ひし／＼と立つや墓場のまん珠さけ	寒山落木　卷一
そのあたり似た草もなし珠沙花	寒山落木　卷一
野ぜんちをさゝへて咲くや珠さけ	寒山落木　卷一
餘の草にはなれて赤しまんじゆさけ	寒山落木　卷一
酒のんだ僧の後生やまんじゆ沙花	寒山落木　卷一
團栗や内を覗けど人もなし	寒山落木　卷一
竹椽を團栗はしる嵐哉	寒山落木　卷一
團栗もかきよせらるゝ落葉哉	寒山落木　卷一
椎ひろふあとに團栗哀れ也	寒山落木　卷一
どんぐりの落つるや土手の裏表	寒山落木　卷一
どんぐりのいくつ落ちてや破れ笠	寒山落木　卷一
どん栗や一ツころがる納屋の隅	寒山落木　卷一
團栗にうたれて牛の眠り哉	寒山落木　卷一
桐の木に雀とまりて一葉かな	寒山落木　卷一
桐の木に葉もなき秋の半かな	寒山落木　卷一
あぜ豆のつぎめは青し稻莚	寒山落木　卷一
高低に螽とぶなり稻むしろ	寒山落木　卷一
行く秋や刀豆一ツあらはるゝ	寒山落木　卷一
刀豆や親王樣の齒の力	寒山落木　卷一
すさましややもめすむ家の蕃椒	寒山落木　卷一
雨風にます／＼赤し唐辛子	寒山落木　卷一
蓼をくふ虫はあるとや唐辛子	寒山落木　卷一
唐辛子辛きが上の赤さかな	寒山落木　卷一
一すぢに思ひつめてや蕃椒	寒山落木　卷一
あき家に一畝赤し唐からし	寒山落木　卷一
唐辛子おろかな色はなかりけり	寒山落木　卷一
蕃椒横むいたのはなかりけり	寒山落木　卷一
行秋やつられてさがる唐辛子	寒山落木　卷一
【待戀】	寒山落木　卷一
唐辛子かんで待つ夜の恨哉	寒山落木　卷一
いつしかにくひ習ひけり蕃椒	寒山落木　卷一
はらわたに通りて赤し蕃椒	寒山落木　卷一
兼好に歌をよません唐辛子	寒山落木　卷一
煙にも更にすゝけず唐からし	寒山落木　卷一
唐辛子赤き穗先をそろへけり	寒山落木　卷一
盆栽の數に入りけり蕃椒	寒山落木　卷一
西瓜さへ表は青し蕃椒	寒山落木　卷一
草子にも書きもらしけり蕃椒	寒山落木　卷一
蕃椒心ありける浮世かな	寒山落木　卷一
蕃椒やゝひんまがつて猶からし	寒山落木　卷一
束髮の人にくはせん唐辛子	寒山落木　卷一
萩薄月に重なる夕かな	寒山落木　卷一
月の中に一本高し女郎花	寒山落木　卷一
世の中を赤うばかすや唐辛子	寒山落木　卷一
唐辛子日に／＼秋の恐ろしき	寒山落木　卷一
唐辛子殘る暑さをほのめかす	寒山落木　卷一
乞食の薄をつかむ寐覺哉	寒山落木　卷一
桐一葉笠にかぶるや石地藏	寒山落木　卷一
藤袴笠は何笠桔梗笠	寒山落木　卷一
蘇東坡の笠やつくらん竹の春	寒山落木　卷一
萩薄小町が笠は破れけり	寒山落木　卷一
はり／＼と木の實ふる也檜木笠	寒山落木　卷一
【古白剃髮】	寒山落木　卷一
蓮の實を探つて見れば坊主哉	寒山落木　卷一
笠賣の笠ぬらしけり萩の露	寒山落木　卷一
笠一ツ動いて行くや木賊刈	寒山落木　卷一
笠いくつ蘆の穗つたひ廻りけり	寒山落木　卷一
笠塚の笠を根にしてはせを哉	寒山落木　卷一
笠賣とならんで出たり薄賣	寒山落木　卷一
歌もなし朱印さひしき西瓜哉	寒山落木　卷一
送火の灰の上なり桐一葉	寒山落木　卷一
【画賛】	寒山落木　卷一
からぐろの黒からず茄子の濃紫	寒山落木　卷一
鉢植の松にも蔦の紅葉かな	寒山落木　卷一
月夜	寒山落木　卷一
里芋の娵入したる都かな	寒山落木　卷一
蕣や鉢に植ゑても同じ事	寒山落木　卷一
くりぬいて中へはいらん種ふくべ	寒山落木　卷一
蕣の地をはひわたる明家哉	寒山落木　卷一
種ふくべ何の力にくびれけん	寒山落木　卷一
萩の花思ふ通りにたわみけり	寒山落木　卷一
乞食小屋の留守にちりこむ柳哉	寒山落木　卷一
乞食のめんつうを干す木槿哉	寒山落木　卷一
乞食のぬる野は花と成にけり	寒山落木　卷一
水結さら／＼と水こす荻の下葉哉千那ノ句秋風や荻のりこえて水の音	寒山落木　卷一
〃濱荻や水氣はなれし畑の中	寒山落木　卷一
〃水門に荻をすひこむ流れ哉	寒山落木　卷一
【大磯へ行く途上】	寒山落木　卷一
堀割になれてうつむく薄哉	寒山落木　卷一
堀割に風のうつむく薄哉	寒山落木　卷一
むさし野は稻よりのぼる朝日哉	寒山落木　卷一
夕日さす山段の晩稻哉	寒山落木　卷一
何のかのうき名をすてゝ野菊哉	寒山落木　卷一
百姓の秋はうつくし葉鷄頭	寒山落木　卷一
朝や傾城町のうら通り	寒山落木　卷一
かた／＼は花そば白し曼珠沙花	寒山落木　卷一
【大磯千疊敷〔二句〕】	寒山落木　卷一
一谷は風撫であぐる薄哉	寒山落木　卷一
一山は風にかたよる薄哉	寒山落木　卷一
【同雨にあふ〔二句〕】	寒山落木　卷一
雨さそふ千疊敷の薄かな	寒山落木　卷一
一谷は雲すみつかぬ薄かな	寒山落木　卷一
稻妻に朝つぼむ夕かな	寒山落木　卷一
箱根山薄八里と申さはや	寒山落木　卷一
新棉の荷をこぼれ出る寒さ哉	寒山落木　卷一
【箱根〔二句〕】	寒山落木　卷一
槍立てゝ通る人なし花薄	寒山落木　卷一
石の上にはへぬ許りそ花薄	寒山落木　卷一
草鞋の緒きれてよりこむ薄哉	寒山落木　卷一
風一筋川一筋の薄かな	寒山落木　卷一
馬の尾をたばねてくゝる薄哉	寒山落木　卷一
末枯や覺束なくも女郎花	寒山落木　卷一
菅笠のそろふて動く薄哉	寒山落木　卷一
皮むけば青煙たつ蜜柑哉	寒山落木　卷一
紅葉する木立もなしに山深し	寒山落木　卷一
【美人に紅葉の一枝をねだられて】	寒山落木　卷一
薄紅葉紅にそめよと與へけり	寒山落木　卷一
【箱根茶店】	寒山落木　卷一
犬蓼の花くふ馬や茶の煙	寒山落木　卷一
唐秬のからでたく湯や山の宿	寒山落木　卷一
石原にやせて倒るゝ野菊かな	寒山落木　卷一
草刈の刈りそろへけり花薄	寒山落木　卷一
箱根路は一月早し初	寒山落木　卷一
【愚庵】	寒山落木　卷一
紅葉ちる和尚の留守のいろり哉	寒山落木　卷一
常盤木にまじりて遲き紅葉哉	寒山落木　卷一
ぬす人のはいつた朝や桐一葉	寒山落木　卷一
ぬす人の住まうたといふ銀杏哉	寒山落木　卷一
狩りくらす靱の底の紅葉哉	寒山落木　卷一
味噌色に摺鉢山の紅葉哉	寒山落木　卷一
秋のうら秋のおもてや葛尾花	寒山落木　卷一
影むすぶ雌松雄松の松露哉	寒山落木　卷一
誰に賣らん金なき人に菊賣らん	寒山落木　卷一
御陵としらで咲けり萩の花	寒山落木　卷一
牛小屋の留守に鹿鳴く紅葉哉	寒山落木　卷一
白河の關を染めけり夕紅葉	寒山落木　卷一
竹藪に一つる重し烏瓜	寒山落木　卷一
我聲の風になりけり茸狩	寒山落木　卷一
松茸や京は牛煮る相手にも	寒山落木　卷一
相生の松茸笠をまじへけり	寒山落木　卷一
頭や馬士が烟管の雁首で	寒山落木　卷一
醉ざめや十日の菊に烟草のむ	寒山落木　卷一
大小の朱鞘はいやし紅葉狩	寒山落木　卷一
二三枚取て重ねる紅葉哉	寒山落木　卷一
猿啼く夜團栗落つるしきり也	寒山落木　卷一
古寺や木魚うつ／＼萩のちる	寒山落木　卷一
月の出て風に成たる芒かな	寒山落木　卷一
毒茸の下や誰が骨星が岡	寒山落木　卷一
【岩屋山】	寒山落木　卷一
縱横に蔦這ひたらぬ岩屋哉	寒山落木　卷一
【三津】	寒山落木　卷一
堀川の滿干のあとや蓼の花	寒山落木　卷一
秋の山瀧を殘して紅葉哉	寒山落木　卷一
【八股】	寒山落木　卷一
八方に風の道ある榎實哉	寒山落木　卷一
升のみの酒の雫や菊の花	寒山落木　卷一
稻の穗のうねりこんだり祝谷	寒山落木　卷一
團栗の水に落つるや終夜	寒山落木　卷一
をさな子の鬼灯盛るや竹の籠	寒山落木　卷一
月白く赤き夜や猿の梦	寒山落木　卷一
傾城は屏風の萩に旅寐哉	寒山落木　卷一
七草に入らぬあはれや男郎花	寒山落木　卷一
大名の庭に痩せたり女郎花	寒山落木　卷一
世や捨てんわれも其名を菊の水	寒山落木　卷一
うき人にすねて見せけり女郎花	寒山落木　卷一
一枝の紅葉そへたり妹が文	寒山落木　卷一
明耿朝日に並ぶ菊花	寒山落木　卷一
朝は命の中のいのちかな	寒山落木　卷一
井のそこに沈み入りけり桐一葉	寒山落木　卷一
椎の實や袂の底にいつからぞ	寒山落木　卷一
横雲のすき間こほるゝもみち哉	寒山落木　卷一
朝霧の杉にかたよるもみち哉	寒山落木　卷一
谷深く夕日一すぢのもみち哉	寒山落木　卷一
一村は夕日をあびる紅葉哉	寒山落木　卷一
をり／＼に鹿のかほ出す紅葉哉	寒山落木　卷一
どの山の紅葉か殘る馬の鞍	寒山落木　卷一
牛の子を追ひ／＼はいるもみち哉	寒山落木　卷一
鷄の鳴く奧もありむらもみち	寒山落木　卷一
馬の背の大根白し夕もみち	寒山落木　卷一
盆程の庭の蒔繪や菊もみち	寒山落木　卷一
下闇に紅葉一木のゆふ日哉	寒山落木　卷一
いろ／＼の紅葉の中の銀杏哉	寒山落木　卷一
藪蔭に夕日の足らぬもみち哉	寒山落木　卷一
絶壁に夕日うらてるもみち哉	寒山落木　卷一
岩鼻に見あげ見おろす哉	寒山落木　卷一
道二つ馬士と木こりのもみち哉	寒山落木　卷一
小原女の衣ふるへばもみぢ哉	寒山落木　卷一
背に烏帽子かけた仕丁や薄	寒山落木　卷一
傘にをり／＼見すく哉	寒山落木　卷一
千山の紅葉一すぢの流れ哉	寒山落木　卷一
眞黒に釣鐘暮れるもみち哉	寒山落木　卷一
松明の山上り行くもみち哉	寒山落木　卷一
駕下りて紅葉へ二里と申す也	寒山落木　卷一
兩岸の紅葉に下す筏かな	寒山落木　卷一
紅葉やく烟は黒し土鑵子	寒山落木　卷一
火ともせはずんぶり暮るゝ紅葉哉	寒山落木　卷一
猿引の家はもみちとなりにけり	寒山落木　卷一
關守の徳利かくすもみち哉	寒山落木　卷一
夕もみち女もまじるうたひ哉	寒山落木　卷一
神殿の御格子おろす哉	寒山落木　卷一
廊下から手燭をうつす哉	寒山落木　卷一
煙たつ軒にふすぼるもみち哉	寒山落木　卷一
辨當を鹿にやつたるもみち哉	寒山落木　卷一
寺に塩こぼし行くかな	寒山落木　卷一
をさな子の手に重ねたるもみち哉	寒山落木　卷一
尺八の手に持ちそふるもみち哉	寒山落木　卷一
町ありく樵夫の髮にもみち哉	寒山落木　卷一
おろ／＼とのんで風呼ぶ薄哉	寒山落木　卷一
井戸堀や砂かぶせたる蓼の花	寒山落木　卷一
朝顏の日うら勝にてあはれなり	寒山落木　卷一
吹きかへす風の薄のそゝけ哉	寒山落木　卷一
竹垣や菊と野菊の裏表	寒山落木　卷一
早し遲し二木の桐の一葉哉	寒山落木　卷一
わりなしや小松をのぼる蔦紅葉	寒山落木　卷一
蔦の葉をつたふて松の雫哉	寒山落木　卷一
松二木蔦一もとのもみぢ哉	寒山落木　卷一
【再遊松林舘】	寒山落木　卷一
色かへぬ松や主は知らぬ人	寒山落木　卷一
明治廿五壬辰年	寒山落木　卷一
はじめの冬天文	寒山落木　卷一
ほんのりと茶の花くもる霜夜哉	寒山落木　卷一
北風や芋屋の烟なびきあへず	寒山落木　卷一
呉竹の奧に音あるあられ哉	寒山落木　卷一
青竹をつたふ霰のすべり哉	寒山落木　卷一
一ツ葉の手柄見せけり雪の朝	寒山落木　卷一
雪の夜や簔の人行く遠明り	寒山落木　卷一
初雪や小鳥のつゝく石燈籠	寒山落木　卷一
初雪をふるへばみのゝ雫かな	寒山落木　卷一
一里きて酒屋でふるふみのゝゆき	寒山落木　卷一
初雪や奇麗に笹の五六枚	寒山落木　卷一
雪の中うたひに似たる翁哉	寒山落木　卷一
靜かさや雪にくれ行く淡路嶋	寒山落木　卷一
雪の日の隅田は青し都鳥	寒山落木　卷一
からかさを千鳥はしるや小夜時雨	寒山落木　卷一
さら／＼と竹に音あり夜の雪	寒山落木　卷一
初雪や輕くふりまく茶の木原	寒山落木　卷一
